model,split,problem_idx,variant,run_idx,original_answer,predicted_answer,is_correct_exact,input_tokens,output_tokens,error
sonnet-3.7,train,2,original,0,079,79,True,344,568,
sonnet-3.7,train,0,original,0,277,277,True,370,632,
sonnet-3.7,train,6,original,0,396,261,False,284,671,
sonnet-3.7,train,4,node_deletion,0,065,8,False,338,692,
sonnet-3.7,train,1,edge_deletion,0,62,108,False,265,636,
sonnet-3.7,train,4,edge_deletion,0,065,8,False,338,808,
sonnet-3.7,train,3,original,0,070,65,False,255,795,
sonnet-3.7,train,4,original,0,065,65,True,357,774,
sonnet-3.7,train,5,edge_deletion,0,441,18,False,274,880,
sonnet-3.7,train,1,node_deletion,0,62,18,False,282,851,
sonnet-3.7,train,2,node_deletion,0,079,5,False,358,884,
sonnet-3.7,train,5,node_deletion,0,441,441,False,278,1021,
sonnet-3.7,train,6,node_deletion,0,396,810,False,280,1015,
sonnet-3.7,train,0,node_deletion,0,277,25,False,362,1074,
sonnet-3.7,train,3,node_deletion,0,070,985,False,261,1034,
sonnet-3.7,train,7,node_deletion,0,244,748,False,264,412,
sonnet-3.7,train,3,edge_deletion,0,070,801,False,255,925,
sonnet-3.7,train,2,edge_deletion,0,079,5,False,339,1242,
sonnet-3.7,train,1,original,0,62,20,False,283,1224,
sonnet-3.7,train,5,original,0,441,484,False,272,1331,
sonnet-3.7,train,7,edge_deletion,0,244,976,False,263,494,
sonnet-3.7,train,0,edge_deletion,0,277,5,False,351,1144,
sonnet-3.7,train,6,edge_deletion,0,396,630,False,280,926,
sonnet-3.7,train,10,original,0,896,584,False,373,552,
sonnet-3.7,train,9,node_deletion,0,156,254,False,341,603,
sonnet-3.7,train,9,original,0,156,85,False,337,645,
sonnet-3.7,train,10,node_deletion,0,896,584,False,371,482,
sonnet-3.7,train,8,edge_deletion,0,029,2,False,413,663,
sonnet-3.7,train,10,edge_deletion,0,896,16,False,360,519,
sonnet-3.7,train,9,edge_deletion,0,156,39,False,319,799,
sonnet-3.7,train,7,original,0,244,244,True,267,1192,
sonnet-3.7,train,13,edge_deletion,0,681,251,False,293,401,
sonnet-3.7,train,11,original,0,161,7,False,445,817,
sonnet-3.7,train,12,node_deletion,0,039,501,False,385,662,
sonnet-3.7,train,8,node_deletion,0,029,143,False,417,1120,
sonnet-3.7,train,12,original,0,039,502,False,396,882,
sonnet-3.7,train,14,original,0,83,42,False,686,620,
sonnet-3.7,train,14,node_deletion,0,83,16,False,365,558,
sonnet-3.7,train,13,original,0,681,97,False,308,955,
sonnet-3.7,train,11,node_deletion,0,161,3,False,426,1137,
sonnet-3.7,train,16,edge_deletion,0,243,\sqrt{11},False,312,368,
sonnet-3.7,train,14,edge_deletion,0,83,1,False,363,548,
sonnet-3.7,train,15,edge_deletion,0,196,32,False,254,658,
sonnet-3.7,train,15,original,0,196,196,True,255,790,
sonnet-3.7,train,16,node_deletion,0,243,64,False,317,495,
sonnet-3.7,train,15,node_deletion,0,196,444,False,259,865,
sonnet-3.7,train,16,original,0,243,11,False,571,634,
sonnet-3.7,train,11,edge_deletion,0,161,5,False,413,1495,
sonnet-3.7,train,8,original,0,029,21,False,412,1785,
sonnet-3.7,train,13,node_deletion,0,681,389,False,293,1198,
sonnet-3.7,train,17,original,0,503,127,False,367,825,
sonnet-3.7,train,12,edge_deletion,0,039,503,False,396,1578,
sonnet-3.7,train,18,original,0,279,271,False,348,776,
sonnet-3.7,train,17,node_deletion,0,503,123,False,361,816,
sonnet-3.7,train,18,node_deletion,0,279,108,False,349,732,
sonnet-3.7,train,20,node_deletion,0,050,4,False,282,596,
sonnet-3.7,train,17,edge_deletion,0,503,253,False,357,1051,
sonnet-3.7,train,20,original,0,050,41,False,274,783,
sonnet-3.7,train,18,edge_deletion,0,279,105,False,329,932,
sonnet-3.7,train,19,node_deletion,0,190,83,False,307,1002,
sonnet-3.7,train,21,node_deletion,0,754,415,False,333,810,
sonnet-3.7,train,19,edge_deletion,0,190,90,False,322,927,
sonnet-3.7,train,22,node_deletion,0,245,50,False,299,646,
sonnet-3.7,train,21,edge_deletion,0,754,825,False,329,925,
sonnet-3.7,train,22,edge_deletion,0,245,20,False,300,794,
sonnet-3.7,train,20,edge_deletion,0,050,5,False,283,1249,
sonnet-3.7,train,22,original,0,245,65,False,297,1037,
sonnet-3.7,train,21,original,0,754,1037,False,327,1209,
sonnet-3.7,train,25,original,0,132,72,False,332,877,
sonnet-3.7,train,25,node_deletion,0,132,450,False,344,901,
sonnet-3.7,train,23,edge_deletion,0,669,345,False,304,1133,
sonnet-3.7,train,24,original,0,340,289,False,388,967,
sonnet-3.7,train,19,original,0,190,r + b$,False,307,2048,
sonnet-3.7,train,25,edge_deletion,0,132,132,False,346,977,
sonnet-3.7,train,23,original,0,669,999,False,298,1202,
sonnet-3.7,train,27,original,0,107,12,False,353,642,
sonnet-3.7,train,27,node_deletion,0,107,4,False,349,782,
sonnet-3.7,train,23,node_deletion,0,669,222,False,309,1232,
sonnet-3.7,train,26,original,0,223,19,False,363,859,
sonnet-3.7,train,27,edge_deletion,0,107,2021,False,330,726,
sonnet-3.7,train,28,original,0,157,76,False,398,895,
sonnet-3.7,train,0,original,1,277,277,True,370,841,
sonnet-3.7,train,29,original,0,393,243,False,427,832,
sonnet-3.7,train,28,node_deletion,0,157,16,False,405,1005,
sonnet-3.7,train,0,node_deletion,1,277,13,False,362,858,
sonnet-3.7,train,28,edge_deletion,0,157,2047,False,444,912,
sonnet-3.7,train,3,edge_deletion,1,070,848,False,255,515,
sonnet-3.7,train,3,original,1,070,70,True,255,598,
sonnet-3.7,train,3,node_deletion,1,070,803,False,261,564,
sonnet-3.7,train,0,edge_deletion,1,277,13,False,351,822,
sonnet-3.7,train,1,edge_deletion,1,62,999,False,265,649,
sonnet-3.7,train,4,original,1,065,65,True,357,798,
sonnet-3.7,train,1,node_deletion,1,62,73809,False,282,1015,
sonnet-3.7,train,6,node_deletion,1,396,720,False,280,263,
sonnet-3.7,train,2,original,1,079,19559,False,344,902,
sonnet-3.7,train,2,node_deletion,1,079,5,False,358,822,
sonnet-3.7,train,4,node_deletion,1,065,8,False,338,855,
sonnet-3.7,train,5,original,1,441,12,False,272,856,
sonnet-3.7,train,2,edge_deletion,1,079,4,False,339,1075,
sonnet-3.7,train,1,original,1,62,20,False,283,1346,
sonnet-3.7,train,4,edge_deletion,1,065,5,False,338,967,
sonnet-3.7,train,6,original,1,396,396,True,284,807,
sonnet-3.7,train,5,node_deletion,1,441,1,False,278,916,
sonnet-3.7,train,7,node_deletion,1,244,748,False,264,523,
sonnet-3.7,train,5,edge_deletion,1,441,18,False,274,947,
sonnet-3.7,train,7,edge_deletion,1,244,976,False,263,658,
