model,pass@1,pass@2,pass@3,pass@4,pass@5,n_problems,n_runs
deepseek-r1,50.67,57.67,60.33,62.0,63.33,30,5
deepseek-v3.2,66.0,73.0,75.67,78.0,80.0,30,5
gemini3,0.0,0.0,0.0,0.0,0.0,30,5
gpt-5.2,0.0,0.0,0.0,0.0,0.0,30,5
grok-4.2,0.0,0.0,0.0,0.0,0.0,30,5
kimi-k2.5,58.0,69.67,74.0,76.0,76.67,30,5
llama4-mav,21.33,27.0,30.0,32.0,33.33,30,5
mistral-lg3,42.67,51.67,57.33,62.0,66.67,30,5
nova-premier,9.33,14.0,16.67,18.67,20.0,30,5
sonnet-3.7,15.33,22.0,27.0,30.67,33.33,30,5
sonnet-4.6,64.0,72.67,77.33,80.67,83.33,30,5
