model,split,variant,correct,total,accuracy,errors
deepseek,AIME24,original,10,29,34.5,19
deepseek-r1,AIME24,edge_deletion,0,30,0.0,5
deepseek-r1,AIME24,node_deletion,0,30,0.0,6
deepseek-r1,AIME24,original,26,30,86.7,3
deepseek-r1,AIME25,edge_deletion,0,30,0.0,8
deepseek-r1,AIME25,node_deletion,0,30,0.0,9
deepseek-r1,AIME25,original,22,30,73.3,5
deepseek-v3.2,AIME24,edge_deletion,0,30,0.0,0
deepseek-v3.2,AIME24,node_deletion,0,30,0.0,0
deepseek-v3.2,AIME24,original,18,30,60.0,0
deepseek-v3.2,AIME25,edge_deletion,0,30,0.0,0
deepseek-v3.2,AIME25,node_deletion,0,30,0.0,0
deepseek-v3.2,AIME25,original,13,30,43.3,0
glm-4.7,AIME24,edge_deletion,0,30,0.0,0
glm-4.7,AIME24,node_deletion,0,30,0.0,0
glm-4.7,AIME24,original,15,30,50.0,0
glm-4.7,AIME25,edge_deletion,0,30,0.0,0
glm-4.7,AIME25,node_deletion,0,30,0.0,0
glm-4.7,AIME25,original,14,30,46.7,0
grok,AIME24,original,26,30,86.7,4
kimi-k2.5,AIME24,edge_deletion,0,30,0.0,0
kimi-k2.5,AIME24,node_deletion,0,30,0.0,0
kimi-k2.5,AIME24,original,22,30,73.3,0
kimi-k2.5,AIME25,edge_deletion,0,30,0.0,0
kimi-k2.5,AIME25,node_deletion,0,30,0.0,0
kimi-k2.5,AIME25,original,16,30,53.3,0
llama4-mav,AIME24,edge_deletion,0,30,0.0,0
llama4-mav,AIME24,node_deletion,0,30,0.0,0
llama4-mav,AIME24,original,11,30,36.7,0
llama4-mav,AIME25,edge_deletion,0,30,0.0,0
llama4-mav,AIME25,node_deletion,0,30,0.0,0
llama4-mav,AIME25,original,4,30,13.3,0
mistral-lg3,AIME24,edge_deletion,0,30,0.0,0
mistral-lg3,AIME24,node_deletion,0,30,0.0,0
mistral-lg3,AIME24,original,15,30,50.0,0
mistral-lg3,AIME25,edge_deletion,0,30,0.0,0
mistral-lg3,AIME25,node_deletion,0,30,0.0,0
mistral-lg3,AIME25,original,8,30,26.7,0
nova-premier,AIME24,edge_deletion,0,30,0.0,0
nova-premier,AIME24,node_deletion,0,30,0.0,1
nova-premier,AIME24,original,5,30,16.7,0
nova-premier,AIME25,edge_deletion,0,30,0.0,0
nova-premier,AIME25,node_deletion,0,30,0.0,0
nova-premier,AIME25,original,5,30,16.7,0
opus-4.6,AIME24,edge_deletion,0,30,0.0,0
opus-4.6,AIME24,node_deletion,0,30,0.0,0
opus-4.6,AIME24,original,30,30,100.0,0
opus-4.6,AIME25,edge_deletion,0,30,0.0,0
opus-4.6,AIME25,node_deletion,0,30,0.0,0
opus-4.6,AIME25,original,18,30,60.0,0
sonnet-4.5,AIME24,edge_deletion,0,30,0.0,0
sonnet-4.5,AIME24,node_deletion,0,30,0.0,0
sonnet-4.5,AIME24,original,16,30,53.3,0
sonnet-4.5,AIME25,edge_deletion,0,30,0.0,0
sonnet-4.5,AIME25,node_deletion,0,30,0.0,0
sonnet-4.5,AIME25,original,11,30,36.7,0
